1,Амстердам,Нидерланды Нидерланды
2,Андорра-ла-Велья,Андорра Андорра
3,Афины,Греция Греция
4,Белград,Сербия Сербия
5,Берлин,Германия Германия
6,Берн,Швейцария Швейцария
7,Братислава,Словакия Словакия
8,Брюссель,Бельгия Бельгия
9,Будапешт,Венгрия Венгрия
10,Бухарест,Румыния Румыния
11,Вадуц,Лихтенштейн Лихтенштейн
12,Валлетта,Мальта Мальта
13,Варшава,Польша Польша
14,Ватикан,Ватикан Ватикан
15,Вена,Австрия Австрия
16,Вильнюс,Литва Литва
17,Дублин,Ирландия
18,Загреб,Хорватия Хорватия
19,Киев,Украина Украина
20,Кишинёв,Молдавия Молдавия
21,Копенгаген,Дания Дания
22,Лиссабон,Португалия Португалия
23,Лондон,Великобритания Великобритания
24,Любляна,Словения Словения
25,Люксембург,Люксембург Люксембург
26,Мадрид,Испания Испания
27,Минск,Белоруссия Белоруссия
28,Монако,Монако Монако
29,Москва,Россия Россия
30,Осло,Норвегия Норвегия
31,Париж,Франция Франция
32,Прага,Чехия Чехия
33,Рейкьявик,Исландия Исландия
34,Рига,Латвия Латвия
35,Рим,Италия Италия
36,Сан-Марино,Сан-Марино Сан-Марино
37,Сараево,Босния и Герцеговина Босния и Герцеговина
38,Скопье,Македония Македония
39,София,Болгария Болгария
40,Стокгольм,Швеция Швеция
41,Таллин,Эстония Эстония
42,Тирана,Албания Албания
43,Хельсинки,Финляндия Финляндия
44,Подгорица,Черногория Черногория
45,Приштина,Республика Косово Республика Косово
46,Тирасполь,Приднестровье Приднестровье
47,Абу-Даби,ОАЭ ОАЭ
48,Амман,Иордания Иордания
49,Анкара,Турция Турция
50,Астана,Казахстан Казахстан
51,Ашхабад,Туркмения Туркмения
52,Багдад,Ирак Ирак
53,Баку,Азербайджан Азербайджан
54,Бангкок,Таиланд Таиланд
55,Бандар-Сери-Бегаван,Бруней Бруней
56,Бейрут,Ливан Ливан
57,Бишкек,Киргизия Киргизия
58,Вьентьян,Лаос Лаос
59,Дакка,Бангладеш Бангладеш
60,Дамаск,Сирия Сирия
61,Дели (Нью-Дели),Индия
62,Джакарта,Индонезия Индонезия
63,Дили,Восточный Тимор Восточный Тимор
64,Доха,Катар Катар
65,Душанбе,Таджикистан Таджикистан
