Амстердам,Нидерланды
Андорра-ла-Велья,Андорра
Афины,Греция
Белград,Сербия
Берлин,Германия
Берн,Швейцария
Братислава,Словакия
Брюссель,Бельгия
Будапешт,Венгрия
Бухарест,Румыния
Вадуц,Лихтенштейн
Валлетта,Мальта
Варшава,Польша
Ватикан,Ватикан
Вена,Австрия
Вильнюс,Литва
Дублин,Ирландия
Загреб,Хорватия
Киев,Украина
Кишинёв,Молдавия
Копенгаген,Дания
Лиссабон,Португалия
Лондон,Великобритания
Любляна,Словения
Люксембург,Люксембург
Мадрид,Испания
Минск,Белоруссия
Монако,Монако
Москва,Россия
Осло,Норвегия
Париж,Франция
Прага,Чехия
Рейкьявик,Исландия
Рига,Латвия
Рим,Италия
Сан-Марино,Сан-Марино
Сараево,Босния и Герцеговина
Скопье,Македония
София,Болгария
Стокгольм,Швеция
Таллин,Эстония
Тирана,Албания
Хельсинки,Финляндия
Подгорица,Черногория
Приштина,Республика Косово
Тирасполь,Приднестровье
Абу-Даби,ОАЭ
Амман,Иордания
Анкара,Турция
Астана,Казахстан
Ашхабад,Туркмения
Багдад,Ирак
Баку,Азербайджан
Бангкок,Таиланд
Бандар-Сери-Бегаван,Бруней
Бейрут,Ливан
Бишкек,Киргизия
Вьентьян,Лаос
Дакка,Бангладеш
Дамаск,Сирия
Дели,Индия
Джакарта,Индонезия
Дили,Восточный Тимор
Доха,Катар
Душанбе,Таджикистан
Ереван,Армения
Иерусалим,Израиль
Исламабад,Пакистан
Кабул,Афганистан
Катманду,Непал
Куала-Лумпур,Малайзия
Мале,Мальдивы
Манама,Бахрейн
Манила,Филиппины
Маскат,Оман
Нейпьидо,Мьянма
Никосия,Кипр
Пекин,КНР
Пномпень,Камбоджа
Пхеньян,КНДР
Сана,Йемен
Сеул,Республика Корея
Сингапур,Сингапур
Ташкент,Узбекистан
Тбилиси,Грузия
Тегеран,Иран
Токио,Япония
Тхимпху,Бутан
Улан-Батор,Монголия
Ханой,Вьетнам
Шри-Джаяварденепура-Котте,Шри-Ланка
Эль-Кувейт,Кувейт
Эр-Рияд,Саудовская Аравия
Лефкоша,Турецкая Республика Северного Кипра
Рамалла,Государство Палестина
Сухум,Абхазия
Тайбэй,Китайская Республика
Цхинвал,Южная Осетия
Абуджа,Нигерия
Аддис-Абеба,Эфиопия
Аккра,Гана
Алжир,Алжир
Антананариву,Мадагаскар
Асмэра,Эритрея
Бамако,Мали
Банги,ЦАР
Банжул,Гамбия
Бисау,Гвинея-Бисау
Браззавиль,Республика Конго
Бужумбура,Бурунди
Виктория,Сейшельские Острова
Виндхук,Намибия
Габороне,Ботсвана
Дакар,Сенегал
Джибути,Джибути
Джуба,Южный Судан
Додома,Танзания
Каир,Египет
Кампала,Уганда
Кигали,Руанда
Киншаса,ДР Конго
Конакри,Гвинея
Либревиль,Габон
Лилонгве,Малави
Ломе,Того
Луанда,Ангола
Лусака,Замбия
Малабо,Экваториальная Гвинея
Мапуту,Мозамбик
Масеру,Лесото
Мбабане,Свазиленд
Могадишо,Сомали
Монровия,Либерия
Морони,Коморы
Найроби,Кения
Нджамена,Чад
Ниамей,Нигер
Нуакшот,Мавритания
Порт-Луи,Маврикий
Порто-Ново,Бенин
Прая,Кабо-Верде
Претория,ЮАР
Рабат,Марокко
Сан-Томе,Сан-Томе и Принсипи
Триполи,Ливия
Тунис,Тунис
Уагадугу,Буркина-Фасо
Фритаун,Сьерра-Леоне
Хараре,Зимбабве
Хартум,Судан
Ямусукро,Кот-д’Ивуар
Яунде,Камерун
Харгейса,Сомалиленд
"Эль-Аюн, Бир-Лелу",Сахарская Арабская Демократическая Республика
Асунсьон,Парагвай
Бастер,Сент-Китс и Невис
Бельмопан,Белиз
Богота,Колумбия
Бразилиа,Бразилия
Бриджтаун,Барбадос
Буэнос-Айрес,Аргентина
Вашингтон,США
Гавана,Куба
Гватемала,Гватемала
Джорджтаун,Гайана
Каракас,Венесуэла
Кастри,Сент-Люсия
Кингстаун,Сент-Винсент и Гренадины
Кингстон,Ямайка
Кито,Эквадор
Лима,Перу
Манагуа,Никарагуа
Мехико,Мексика
Монтевидео,Уругвай
Нассау,Багамы
Оттава,Канада
Панама,Панама
Парамарибо,Суринам
Порт-о-Пренс,Гаити
Порт-оф-Спейн,Тринидад и Тобаго
Розо,Доминика
Сан-Сальвадор,Сальвадор
Сан-Хосе,Коста-Рика
Санто-Доминго,Доминиканская Республика
Сантьяго,Чили
Сент-Джонс,Антигуа и Барбуда
Сент-Джорджес,Гренада
Сукре,Боливия
Тегусигальпа,Гондурас
Кайенна,Гвиана
Апиа,Самоа
Веллингтон,Новая Зеландия
Канберра,Австралия
Маджуро,Маршалловы Острова
Нгерулмуд,Палау
Нукуалофа,Тонга
Паликир,Микронезия
Порт-Вила,Вануату
Порт-Морсби,Папуа — Новая Гвинея
Сува,Фиджи
Фунафути,Тувалу
Хониара,Соломоновы Острова
Южная Тарава (Баирики),Кирибати
Официальной столицы нет,Науру
